Nom,Type,Propriétés,Prix
Épée en Fer,Arme,Puissance d'attaque: 15,50
Arc en Bois,Arme,Puissance d'attaque: 12,40
Arc Long,Arme,Puissance d'attaque: 18,60
Épée Magique,Arme,Puissance d'attaque: 25,100
Potion de Vie,Potion,Soin: 50,20
Potion de Mana,Potion,Régénération de mana: 30,25
Armure en Cuir,Armure,Défense: 10,35
Armure Légère,Armure,Défense: 15,50
Armure en Fer,Armure,Défense: 20,70
Armure Magique,Armure,Défense: 25,90
Anneau de Force,Artefact,Effet: Augmente la force de 5,45
Amulette de Soin,Artefact,Effet: Soigne 20 points de vie par tour,75
Collier d'Agilité,Artefact,Effet: Augmente l'agilité de 5,40
Anneau de Mana,Artefact,Effet: Augmente la régénération de mana de 20%,55
Épée Légendaire,Arme,Puissance d'attaque: 40,200
Arc de Feu,Arme,Puissance d'attaque: 20,100
Bouclier en Fer,Armure,Défense: 30,50
Bouclier Magique,Armure,Défense: 35,80
Potion de Soin Mineure,Potion,Soin: 25,15
Potion de Soin Majeure,Potion,Soin: 75,30
Grimoire Ancien,Artefact,Effet: Augmente l'intelligence de 5,90
Amulette d'Endurance,Artefact,Effet: Augmente la vie maximale de 50,100
Poignard,Arme,Puissance d'attaque: 10,25
Épée à Double Tranchant,Arme,Puissance d'attaque: 30,85
Arc Éthéré,Arme,Puissance d'attaque: 22,80
Armure de Guerre,Armure,Défense: 40,120
Casque de Protection,Armure,Défense: 5,20
Ceinture de Force,Artefact,Effet: Augmente la force de 10,60
Grimoire de Givre,Artefact,Effet: Lance un sort de givre (dégâts +10),110
Anneau de Vitesse,Artefact,Effet: Augmente l'agilité de 10,50
Potion de Résistance,Potion,Augmente la résistance aux dégâts de 30% pendant 10 min,40
Épée Runique,Arme,Puissance d'attaque: 35,120
Bouclier de Lumière,Armure,Défense: 25,70
Poignard Sombre,Arme,Puissance d'attaque: 15,45
Armure Divine,Armure,Défense: 50,150
Potion de Vigueur,Potion,Augmente la force et l'agilité de 10%,50
Amulette d'Invisibilité,Artefact,Effet: Rends invisible pendant 5 secondes,120
Grimoire des Ombres,Artefact,Effet: Lance un sort d'ombre (dégâts +15),130
Arc de Glace,Arme,Puissance d'attaque: 25,90
Potion de Magie,Potion,Régénère 50 points de mana,30
Bouclier de Golem,Armure,Défense: 35,95
Armure en Mithril,Armure,Défense: 45,130
Anneau du Mage,Artefact,Effet: Augmente l'intelligence de 10,80
Épée de Lame Noire,Arme,Puissance d'attaque: 45,180
Grimoire de Flammes,Artefact,Effet: Lance un sort de feu (dégâts +20),150
Ceinture de Résistance,Artefact,Effet: Réduit les dégâts subis de 10%,70
Arc de Tempête,Arme,Puissance d'attaque: 28,110
Armure Spectrale,Armure,Défense: 30,100
Anneau de Régénération,Artefact,Effet: Régénère 10 points de vie par tour,65
Potion d'Invincibilité,Potion,Invincibilité pendant 5 secondes,120
om,Type,Propriétés,Prix
Marteau du Ciel,Arme,Puissance d'attaque: 50,200
Chaussures de Glisse,Armure,Effet: Glisse sur l'eau sans s'enfoncer,75
Potion de Super-Force,Potion,Augmente la force de 100 pendant 10 minutes,150
Chapeau de Magicien Farfelu,Artefact,Effet: Change la couleur des objets autour de toi,50
Épée de Bonbons,Arme,Puissance d'attaque: 10,25
Anneau de Téléportation Accidentelle,Artefact,Effet: Téléporte le porteur à un endroit aléatoire,100
Potion de Rire Incontrôlable,Potion,Effet: Fait rire toutes les personnes autour pendant 30 secondes,30
Cape de Camouflage Écologique,Armure,Effet: Se fond dans le décor, 45
Armure de Fleurs Sauvages,Armure,Défense: 5,30
Épée en Pâte à Modeler,Arme,Puissance d'attaque: 2,10
